id,interests,graduated_courses,on_progress_courses,events_attended,challenge_joined,winning_apps
378101,,,"Bangkit Android Assessment,Bangkit General Assessment,Belajar Dasar Pemrograman Web,Belajar Fundamental Aplikasi Android",,,
378104,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378107,,"Menjadi Game Developer Expert,Belajar Membuat Aplikasi Android untuk Pemula,Belajar Membuat Game untuk Pemula,Membangun Progressive Web Apps,Belajar Dasar Pemrograman Web,Belajar Fundamental Front-End Web Development,Menjadi Front-End Web Developer Expert,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud),Belajar Dasar Pemrograman JavaScript,Belajar Membuat Aplikasi Back-End untuk Pemula,Belajar Membuat Augmented Reality dengan Lens Studio",,"BEKRAF Developer Day 2019 - Malang,Baparekraf Developer Day 2020,Baparekraf Digital Talent Day: Monitoring dan Coaching Penerima Fasilitasi BDT TA 2020 [Online Event],Baparekraf Developer Day 2021,IDCamp Virtual Summit 2021","#MakanTanpaSisa Instagram AR Filter Competition,IDCamp Developer Challenge - Snapchat AR Creator Ramadan Series,IDCamp Developer Challenge - Snapchat AR Creator Ramadan Series,IDCamp Developer Challenge - Snapchat AR Creator Ramadan Series,IDCamp Developer Challenge - Snapchat AR Creator Independence Day Series,IDCamp Developer Challenge - Snapchat AR Creator Independence Day Series,IDCamp Developer Challenge - Snapchat AR Creator Independence Day Series","Quiz Ramadhan,Ngabuburit BS (Benar Salah),TarikTambang17an"
378110,,,Memulai Pemrograman Dengan Java,,,
378113,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378116,Web,,"Belajar Dasar UX Design,Belajar Membuat Aplikasi Android untuk Pemula,Memulai Pemrograman Dengan C,Memulai Pemrograman Dengan Java,Menjadi Flutter Developer Expert (2019)",,,
378119,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378122,,,Memulai Pemrograman Dengan Java,,,
378125,,,"Belajar Membuat Aplikasi Android untuk Pemula,Belajar Membuat Game untuk Pemula",,,
378128,,Belajar Dasar Pemrograman Web,"Belajar Dasar-Dasar Azure Cloud,Belajar Membuat Aplikasi Android untuk Pemula,Membangun Progressive Web Apps",,,
378131,,,Belajar Membuat Aplikasi Android untuk Pemula,Baparekraf Developer Day 2021,,
378134,,Belajar Membuat Aplikasi Android untuk Pemula,Belajar Fundamental Aplikasi Android,Baparekraf Developer Day 2021,,
378140,,,"Belajar Dasar Pemrograman Web,Belajar Membuat Game dengan Construct 2,Belajar Membuat Game untuk Pemula,Membangun Progressive Web Apps",,,
378143,,,"Belajar Dasar Pemrograman Web,Belajar Fundamental Aplikasi Android,Belajar Membangun LINE Chatbot,Belajar Membuat Aplikasi Android untuk Pemula,Belajar Membuat Game dengan Construct 2,Belajar Membuat Game untuk Pemula,Memulai Pemrograman Dengan Dart,Memulai Pemrograman Dengan Java,Menjadi Azure Cloud Developer,Menjadi Flutter Developer Expert (2019)",,,
378149,,,,,,
378152,,,"Belajar Fundamental Aplikasi Android,Belajar Membuat Game untuk Pemula,Memulai Pemrograman Dengan Java,Menjadi Game Developer Expert",,,
378158,,,,,,
378164,"Android,iOS,Multi Platform","Belajar Membuat Aplikasi Flutter untuk Pemula,Belajar Prinsip Pemrograman SOLID,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud),Belajar Dasar Pemrograman JavaScript,Belajar Membuat Aplikasi Back-End untuk Pemula,Architecting on AWS (Membangun Arsitektur Cloud di AWS),Belajar Fundamental Aplikasi Back-End","Belajar Dasar Pemrograman Web,Belajar Membuat Aplikasi Android untuk Pemula,Filtering Studi Independen Bersertifikat Kampus Merdeka 2022,Memulai Pemrograman Dengan C,Memulai Pemrograman Dengan Java,Memulai Pemrograman Dengan Swift,Menjadi Back-End Developer Expert,Source Code Management untuk Pemula",,,
378167,,Memulai Pemrograman Dengan Dart,Belajar Membangun LINE Chatbot,,,
378170,,,,,,
378173,,,"Belajar Membuat Aplikasi Android untuk Pemula,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud)",Baparekraf Developer Day 2022,,
378176,,,,,,
378179,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378182,,,,,,
378185,,,,,,
378188,,,"Belajar Fundamental Aplikasi Android,Belajar Membuat Aplikasi Android untuk Pemula,Memulai Pemrograman Dengan Java,Memulai Pemrograman Dengan Python",,,
378191,,,,,,
378194,,,,,,
378197,,,,,,
378200,,"Memulai Pemrograman Dengan Kotlin,Memulai Pemrograman Dengan Python,Belajar Dasar Pemrograman Web,Belajar Prinsip Pemrograman SOLID,Belajar Dasar Visualisasi Data,Memulai Pemrograman Dengan Dart,Belajar Dasar Pemrograman JavaScript","Belajar Fundamental Front-End Web Development,Belajar Machine Learning untuk Pemula,Belajar Membuat Aplikasi Back-End untuk Pemula,Belajar Membuat Aplikasi Flutter untuk Pemula,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud),Kotlin Android Developer Expert","Baparekraf Developer Day 2020,Dicoding Developer Coaching #35: Android | Setup Continuous Integration di Android,Baparekraf Developer Day 2022",,
378203,,,"Belajar Membangun Prototype Chatbot Dengan LINE Bot Designer,Belajar Membuat Aplikasi Android untuk Pemula,Belajar Membuat Game dengan Construct 2",,,
378206,,,,,,
378209,,,"Belajar Dasar Visualisasi Data,Memulai Pemrograman Dengan Java",,,
378212,,,"Belajar Membuat Aplikasi Android untuk Pemula,Belajar Membuat Game untuk Pemula",,,
378215,,,,,,
378218,,,Membangun Progressive Web Apps,,,
378221,,,,,,
378224,,,,,,
378227,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378230,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378233,,"Memulai Pemrograman Dengan Python,Belajar Dasar-Dasar Azure Cloud","Belajar Dasar Pemrograman JavaScript,Belajar Membuat Aplikasi Android untuk Pemula",,,
378236,,,"Belajar Membuat Aplikasi Android untuk Pemula,Menjadi Game Developer Expert",,,
378239,,"Belajar Membuat Aplikasi Android untuk Pemula,Memulai Pemrograman Dengan Python,Belajar Dasar Visualisasi Data,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud),Architecting on AWS (Membangun Arsitektur Cloud di AWS),Belajar Dasar Git dengan GitHub","Belajar Dasar Pemrograman JavaScript,Belajar Dasar Pemrograman Web,Belajar Fundamental Front-End Web Development,Belajar Machine Learning untuk Pemula,Belajar Membuat Aplikasi Back-End untuk Pemula,Belajar Membuat Game untuk Pemula,Memulai Pemrograman Dengan C","Baparekraf Developer Day 2020,Dicoding Developer Coaching #18: Android | Membuat Aplikasi Pengingat dengan Menggunakan Alarm dan Scheduler,Membuat Model Machine Learning tanpa Coding,Memulai Karir sebagai Machine Learning Developer,Cara Mudah Berkolaborasi dengan Github,Make Impact in Business with Digital Signal Processing like Samsan Tech,Baparekraf Developer Day 2021,Best Practice for Migrating from On-Premise to Google Cloud,Tips Sukses Berkarir sebagai Developer dan Programmer 2021,Dicoding Sharing Session : Mengenal Lebih Dekat Google Compute Engine",,
378242,,,"Belajar Dasar Pemrograman Web,Belajar Membuat Aplikasi Android untuk Pemula,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud)",,,
378245,,,,,,
378248,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378251,,,"Belajar Dasar Pemrograman Web,Belajar Membuat Aplikasi Android untuk Pemula,Memulai Pemrograman Dengan C,Memulai Pemrograman Dengan Java,Memulai Pemrograman Dengan Kotlin",,,
378254,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378257,,,,,,
378263,,,"Belajar Fundamental Aplikasi Android,Belajar Membuat Aplikasi Android untuk Pemula",,,
378266,,,"Memulai Pemrograman Dengan Java,Pengantar Teknologi Blockchain","Baparekraf Developer Day 2021,Tren Implementasi dan Pengembangan Augmented Reality,Analisa Peretasan Data di Era Pandemi",,
378269,,,,,,
378272,,,"Memulai Pemrograman Dengan Java,Memulai Pemrograman Dengan Kotlin",,,
378275,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
